NrOfTransactions=10;From=6/1/2023;Until=7/31/2024;StartAmount=10000;
WEDX,20240409,420.5
WEDX,20240607,412.93
PYMT,20231002,40.5
WEDX,20231116,354.01
KSPF,20240311,36.49
KSPF,20231109,34.68
OSCR,20230706,100.34
OSCR,20231212,111.06
PYMT,20230724,47.66
KSPF,20230727,36.66
BTMC,20240405,117.87
OSCR,20240627,113.97
OSCR,20240531,116.48
KSPF,20240109,34.89
WEDX,20231110,339.56
BTMC,20230911,97.4
BTMC,20240730,123.16
KSPF,20240628,36.1
PYMT,20231122,45.02
WEDX,20240110,351.42
PYMT,20240611,59.14
BTMC,20240412,115.5
PYMT,20240221,55.33
WEDX,20240708,427.38
OSCR,20231003,117.6
OSCR,20240705,112.55
BTMC,20240419,113.49
BTMC,20230612,76.09
BTMC,20230825,79.91
OSCR,20240710,112.53
BTMC,20230810,84.72
WEDX,20240314,420.38
BTMC,20230717,79.1
PYMT,20240110,53.02
KSPF,20230718,35.79
KSPF,20240325,38.26
PYMT,20230825,41.24
WEDX,20230816,313.34
OSCR,20240403,131.63
OSCR,20240319,122.02
PYMT,20230707,45.74
KSPF,20240122,34.25
WEDX,20240423,424.74
OSCR,20240523,117.65
PYMT,20240312,57.45
OSCR,20240603,113.87
PYMT,20230606,47.22
PYMT,20230830,41.37
KSPF,20240319,37.84
WEDX,20240318,426.53
WEDX,20230607,294.53
KSPF,20240627,35.97
WEDX,20231208,366.75
KSPF,20240605,35.33
KSPF,20231206,34.85
BTMC,20230919,98.35
OSCR,20240220,109.54
WEDX,20240731,413.01
OSCR,20240208,113.9
KSPF,20230719,36.15
KSPF,20240501,38.22
KSPF,20231221,35.46
KSPF,20240125,35.15
PYMT,20231229,51.44
OSCR,20240503,122.23
WEDX,20231004,299.59
KSPF,20231102,36.86
OSCR,20240521,120.41
KSPF,20231124,35.82
KSPF,20240213,36.04
OSCR,20240611,113.63
KSPF,20231019,40.33
OSCR,20231205,113.14
PYMT,20240610,61.43
PYMT,20240513,63.4
WEDX,20240703,422.72
WEDX,20240313,422.45
WEDX,20230630,325.21
WEDX,20231018,303.49
KSPF,20231026,38.82
PYMT,20240418,58.32
OSCR,20240506,123.55
PYMT,20231211,48.15
PYMT,20240426,62.66
KSPF,20240603,36.4
WEDX,20231218,346.91
BTMC,20240314,123.2
PYMT,20231020,39.68
PYMT,20240613,60.23
OSCR,20240326,125.99
PYMT,20231218,49.66
BTMC,20240711,139.24
BTMC,20240517,146.19
PYMT,20240705,64.03
OSCR,20230926,120.14
OSCR,20240305,111.22
PYMT,20231121,45.09
PYMT,20230927,40.46
WEDX,20240401,431.75
BTMC,20240328,116.25
WEDX,20240617,416.06
WEDX,20231129,366.42
PYMT,20240326,61.66
PYMT,20230919,42.68
KSPF,20230810,37.08
BTMC,20231023,104.19
PYMT,20230921,41.71
