NrOfTransactions=2;From=6/1/2023;Until=7/31/2024;StartAmount=100000;
VALS,20231219,123.77
GUST,20240104,148.65
GUST,20240729,169.93
PYMT,20240503,61.52
FFRI,20231115,61.29
LRFD,20230809,213.47
GUST,20231009,143.36
DWIM,20240614,333.29
VALS,20240412,133.55
DWIM,20231219,294.32
FV8C,20240306,17.79
LRFD,20240621,320.33
FLYN,20240515,83.48
PYMT,20231031,39.49
VALS,20240222,139.29
GUST,20240731,160.76
PYMT,20230925,41.02
GUST,20240130,157.49
GUST,20231122,151.02
PYMT,20240711,65.71
PYMT,20240522,63.82
GUST,20240109,149.3
FNBA,20230620,101.27
GUST,20240313,162.3
DWIM,20230626,276.41
FNBA,20240517,77.85
FLYN,20240711,95.63
LRFD,20230915,240.2
LRFD,20240517,317.85
VALS,20240607,133.79
FFRI,20240130,61.75
GUST,20230802,156.59
LRFD,20230912,245.73
FFRI,20231121,61.49
FNBA,20230613,99.26
FNBA,20231102,100.01
VALS,20240320,136.1
FNBA,20230929,91.27
FFRI,20231229,64.62
DWIM,20230621,273.83
FFRI,20230622,59.79
LRFD,20240123,344.18
PYMT,20240402,62.84
FLYN,20231023,83.11
KHIN,20240627,159.47
FV8C,20231012,17.85
PYMT,20231122,45.02
FLYN,20230803,90.03
VALS,20230802,115
PYMT,20230905,41.36
FFRI,20240212,59.4
PYMT,20230719,47.52
FFRI,20240104,64.1
FLYN,20230802,91.07
KHIN,20231017,105.14
GUST,20240515,166.51
FNBA,20240723,76.26
DWIM,20231222,298.09
PYMT,20240523,63.02
FFRI,20240318,59.26
VALS,20240325,135.81
DWIM,20231011,294.45
VALS,20231012,110.77
DWIM,20240716,339.71
FLYN,20230809,83.85
LRFD,20230615,243.8
FV8C,20240222,17.75
FFRI,20240103,63.6
FV8C,20230607,16.3
VALS,20240418,130.98
FFRI,20231127,61
FLYN,20240508,78.35
DWIM,20231109,288.91
DWIM,20230627,275.8
VALS,20230621,111.2
DWIM,20231229,299.45
FLYN,20240603,83.6
FV8C,20231106,17.95
FLYN,20240112,99.75
LRFD,20240416,275.02
FV8C,20240118,17.61
KHIN,20231115,118
FNBA,20230905,96.84
DWIM,20240522,336.47
GUST,20230825,153.54
LRFD,20240327,282.26
KHIN,20231003,100.08
FNBA,20240202,92.99
DWIM,20230623,274.85
FLYN,20240207,97.26
FV8C,20240517,20.7
LRFD,20240509,295.67
FFRI,20230714,63.43
LRFD,20230712,232.64
PYMT,20230626,46.24
DWIM,20240105,313.59
PYMT,20240312,57.45
DWIM,20231220,295.85
PYMT,20231129,45.75
FFRI,20230719,65.35
FLYN,20231108,87.54
FFRI,20240723,58.05
FV8C,20231023,17.8
LRFD,20231026,237.19
KHIN,20230830,106.59
DWIM,20231005,285.35
KHIN,20240405,170.42
LRFD,20240605,295.41
FLYN,20231212,90.39
LRFD,20231113,255.64
FFRI,20240626,54.7
KHIN,20230809,110.47
FV8C,20240104,17.59
LRFD,20240606,295.93
KHIN,20240205,174.23
FFRI,20231128,60.89
VALS,20231220,122.36
FNBA,20240123,91.97
FNBA,20240301,93.16
FNBA,20230928,91.08
PYMT,20240223,55.93
PYMT,20231113,42.7
FFRI,20230804,64.55
PYMT,20240726,65.18
VALS,20240214,136.66
FNBA,20230720,100.88
LRFD,20231018,261.34
DWIM,20230705,280.75
KHIN,20230607,117.83
FFRI,20240730,59.04
PYMT,20230622,46.63
DWIM,20240524,332.61
DWIM,20231113,294.12
FV8C,20240612,15.88
FLYN,20230830,82.35
DWIM,20240402,363.09
FFRI,20230614,59.96
PYMT,20240528,62.45
PYMT,20240308,57.51
PYMT,20240418,58.32
VALS,20240621,137.84
GUST,20231129,151.13
GUST,20230727,152.11
KHIN,20230621,112.11
GUST,20231020,148.05
FLYN,20240731,88.59
FFRI,20230919,61.69
VALS,20230607,108.32
FLYN,20230626,90.37
FLYN,20230601,96.66
LRFD,20230713,239.01
DWIM,20230829,281.64
DWIM,20240403,361.07
PYMT,20230829,41.72
VALS,20240705,140.79
LRFD,20230717,250.05
VALS,20230706,112
FFRI,20240429,59.33
GUST,20240422,160.54
GUST,20240503,164.46
VALS,20230811,113.99
KHIN,20230817,104.44
DWIM,20230913,285.21
KHIN,20240717,159.43
PYMT,20230804,45.71
LRFD,20230901,242.72
LRFD,20230927,231.9
PYMT,20231018,40.47
FV8C,20240221,17.76
VALS,20230829,118.57
KHIN,20240321,178.68
KHIN,20230815,111.35
PYMT,20230918,42.64
GUST,20240129,156.16
FLYN,20231221,92.76
FV8C,20231002,15.44
VALS,20230824,115.26
PYMT,20240417,58.17
FFRI,20231227,64.8
FV8C,20231017,17.82
LRFD,20240506,300.57
FV8C,20231227,17.59
FFRI,20240403,59.61
FNBA,20240122,93.07
LRFD,20240626,325.26
FFRI,20231117,61.82
DWIM,20231031,309.2
DWIM,20230929,286.07
LRFD,20240503,296.21
DWIM,20240730,352.77
VALS,20240625,137.33
FV8C,20230815,17.55
FFRI,20230623,59.13
PYMT,20230726,47.49
PYMT,20240517,64.07
FNBA,20230808,100.7
KHIN,20240503,150.6
PYMT,20230928,41.2
FNBA,20240711,73.3
LRFD,20240611,312.95
FLYN,20240104,91.05
FFRI,20240522,56.1
FNBA,20240510,76.11
FNBA,20240424,88.75
FFRI,20230621,60.6
FLYN,20240715,95.63
FV8C,20230630,15.22
FV8C,20231107,17.96
KHIN,20240624,160.25
GUST,20231002,145.19
PYMT,20240625,61.58
KHIN,20240221,164.29
FV8C,20240716,16.15
FV8C,20230810,17.4
KHIN,20240402,178.7
FFRI,20240628,54.96
FLYN,20240702,86.66
LRFD,20231127,269.09
FFRI,20240521,56.86
FFRI,20240605,55.97
PYMT,20240207,54.54
LRFD,20230607,216.25
PYMT,20240209,53.99
FV8C,20240105,17.6
KHIN,20230608,121.05
PYMT,20240103,53.64
LRFD,20240620,311.04
FFRI,20240710,55.82
FFRI,20230808,63.68
FV8C,20240513,19.66
FNBA,20240730,75.94
PYMT,20231221,50.6
GUST,20240306,159.57
LRFD,20240304,299.44
GUST,20240116,149.79
FNBA,20230822,96.07
KHIN,20240125,180.33
GUST,20240423,161.5
VALS,20230712,115.38
PYMT,20240708,64.74
FNBA,20240513,76.18
FFRI,20230828,60.3
KHIN,20240220,165.69
DWIM,20240228,335.13
KHIN,20240202,177.66
FV8C,20231120,18.03
KHIN,20230811,107.57
GUST,20240405,156.1
GUST,20240424,162.6
FV8C,20231219,17.64
FFRI,20230727,64.87
FLYN,20240625,82.08
GUST,20240311,161.55
PYMT,20230821,42.07
DWIM,20240102,310.1
LRFD,20240426,291.42
LRFD,20240124,340.24
GUST,20240613,166.41
FLYN,20240620,80.83
FFRI,20240409,59.07
FNBA,20230811,100.99
FLYN,20240410,84.13
PYMT,20240419,59.14
FFRI,20230711,61.55
GUST,20240401,160.58
PYMT,20240506,62.81
PYMT,20240117,51.36
FNBA,20240524,78.87
GUST,20230810,156.11
FV8C,20240621,15.95
PYMT,20240627,61.55
KHIN,20240328,180.49
GUST,20240709,165.66
VALS,20230907,115.23
LRFD,20231023,246.17
PYMT,20230717,46.26
FLYN,20231012,86.58
FLYN,20240429,82.99
DWIM,20240725,341.15
FFRI,20230926,60.19
KHIN,20240531,166.9
DWIM,20230721,293.77
PYMT,20230816,42.64
FV8C,20240523,16
VALS,20240708,141.17
VALS,20240409,135.06
DWIM,20240520,333.37
GUST,20231013,144.69
FFRI,20240319,59.54
KHIN,20240320,179.73
PYMT,20240722,64.5
VALS,20231213,121.54
VALS,20240215,136.89
GUST,20240409,156.66
FFRI,20240419,58.09
VALS,20230626,110.13
GUST,20240321,161.86
PYMT,20240104,53.77
FV8C,20231026,17.86
GUST,20230829,153.87
VALS,20240402,137.5
KHIN,20240126,177.25
KHIN,20230620,118.93
FV8C,20230809,17.44
KHIN,20240117,160.17
KHIN,20240322,179.65
FFRI,20240209,59.36
FLYN,20240621,80.53
FNBA,20231211,98.12
KHIN,20240401,183.34
LRFD,20230922,228.51
FLYN,20230822,81.9
FFRI,20231030,55.83
FV8C,20230720,15.01
FLYN,20240606,87.23
DWIM,20240521,336.38
VALS,20230809,114.2
FLYN,20240626,82.86
FFRI,20230825,59.08
DWIM,20231009,289.67
DWIM,20231025,303.89
FLYN,20240701,85.31
DWIM,20230914,283.31
PYMT,20240520,63.16
LRFD,20230612,229.14
GUST,20240524,165.33
FLYN,20240221,86.89
FNBA,20240327,91.5
FNBA,20230926,92
FV8C,20240209,17.81
FLYN,20231115,87.12
FNBA,20240328,91.39
FNBA,20231023,94.2
FNBA,20240109,93.09
FLYN,20240501,82.89
FFRI,20230620,60.61
VALS,20240304,138.07
FFRI,20240311,60.49
FNBA,20240222,95.78
VALS,20230608,110.6
KHIN,20230804,115.82
FNBA,20240307,90.95
DWIM,20240617,333.9
FFRI,20230901,61.23
VALS,20230616,111.68
KHIN,20230925,97.38
FNBA,20230821,96.46
FV8C,20230605,15.39
DWIM,20230601,253.39
PYMT,20240424,62.47
VALS,20231102,106.26
FNBA,20230814,101.01
DWIM,20240220,341.35
FLYN,20240116,98.16
FV8C,20240516,20.74
GUST,20230901,154.51
FFRI,20240603,55.32
PYMT,20230621,47.41
FNBA,20231227,95.29
FFRI,20231017,59.94
VALS,20240508,133.39
FNBA,20231101,91.35
LRFD,20231205,292.78
LRFD,20231201,296.16
PYMT,20230613,48.69
FLYN,20240416,82.97
PYMT,20230713,47.68
VALS,20240606,134.86
KHIN,20231031,98.5
KHIN,20231117,120.62
FV8C,20230713,15.8
FV8C,20231003,15.16
FNBA,20240718,74.19
FLYN,20240613,84.1
LRFD,20240614,317.31
GUST,20240326,160.55
PYMT,20240515,64.24
FNBA,20231222,95.28
FFRI,20240410,57.58
VALS,20240220,136.43
DWIM,20230901,276.67
FNBA,20240326,90.36
FNBA,20230713,101.6
DWIM,20240416,346.85
FV8C,20240223,17.75
DWIM,20240116,306.94
FV8C,20240724,16.56
LRFD,20240325,285.07
DWIM,20231013,305.09
PYMT,20231222,50.86
FV8C,20240425,16.42
GUST,20240304,159.56
FLYN,20230609,98.44
GUST,20230605,145.94
LRFD,20230815,215.66
FNBA,20240522,80.72
DWIM,20240112,305.01
FFRI,20240725,57.89
PYMT,20230802,46.31
LRFD,20230627,251.59
LRFD,20231215,307.3
LRFD,20240731,324.73
FV8C,20230803,16.94
FNBA,20231122,103.44
FNBA,20240725,73.32
LRFD,20240207,364.5
DWIM,20230831,276.26
PYMT,20230705,46.8
DWIM,20231208,258.8
FNBA,20240304,92.46
FLYN,20231103,87.42
LRFD,20231002,236.77
FFRI,20240507,55.32
GUST,20240717,169.44
DWIM,20230706,279
PYMT,20240612,60.01
FLYN,20231024,84.22
FFRI,20240625,54.7
FLYN,20230726,93.74
FLYN,20231031,83.05
KHIN,20240716,177.55
KHIN,20230914,106.63
FLYN,20240523,80.8
FLYN,20230807,90.44
PYMT,20240318,58.63
LRFD,20230913,246.29
GUST,20240102,148.74
FNBA,20230601,97.52
FLYN,20240417,81.58
KHIN,20240723,154
GUST,20231115,151.42
PYMT,20231020,39.68
VALS,20230901,117.01
FFRI,20240214,58.66
FFRI,20240430,59.32
VALS,20230803,112.07
DWIM,20230920,287.33
DWIM,20240708,323.78
FFRI,20230712,62.24
PYMT,20240306,57.29
FFRI,20240509,56.13
FNBA,20240212,95.47
FNBA,20240205,92.51
PYMT,20230922,40.92
FLYN,20231211,89.33
PYMT,20240110,53.02
VALS,20240528,133.68
DWIM,20240703,325.43
FLYN,20231030,81.74
LRFD,20240703,341.2
KHIN,20240709,177.1
FLYN,20240422,81.56
KHIN,20240208,169.35
LRFD,20230914,245.82
GUST,20230621,149.44
FLYN,20230922,82.38
LRFD,20240425,288.79
FLYN,20240607,85.45
PYMT,20230817,42.46
FLYN,20240206,96.96
VALS,20230908,114.96
PYMT,20231025,38.61
LRFD,20230926,226.79
FFRI,20240517,57.24
FNBA,20240110,93.5
LRFD,20231101,244.86
VALS,20231129,112.69
GUST,20240206,158.96
FV8C,20230907,15.33
LRFD,20230630,255.51
KHIN,20240311,198.39
VALS,20240628,136.89
FFRI,20240402,59.38
PYMT,20240327,62.75
FFRI,20240408,58.77
VALS,20240130,129.02
LRFD,20240424,293.82
FLYN,20240208,96.4
LRFD,20230728,248.44
KHIN,20240703,163.9
GUST,20230915,153.47
GUST,20240301,158.85
KHIN,20231227,146.07
VALS,20231023,107.71
FNBA,20240426,88.25
KHIN,20230703,115.82
LRFD,20230808,211.48
KHIN,20230831,105.72
DWIM,20240305,332.73
DWIM,20240705,319.12
KHIN,20231016,106.46
FFRI,20240206,59.82
FFRI,20240423,58.92
GUST,20231128,152.29
FFRI,20240617,53.85
PYMT,20240430,61.33
GUST,20230713,148.95
FNBA,20231011,91.95
FLYN,20240320,89.62
FLYN,20240314,87.1
DWIM,20240515,343.28
KHIN,20230612,129.19
VALS,20240305,139.42
FNBA,20230718,100.76
FFRI,20230629,61.51
PYMT,20230703,46.74
GUST,20240621,168.26
VALS,20240131,127.33
LRFD,20231218,307.58
FNBA,20231128,101.18
PYMT,20240216,54.85
FLYN,20240509,77.47
FFRI,20230817,61.99
FV8C,20240722,16.96
GUST,20240725,166.9
VALS,20230823,114.83
DWIM,20230720,294.22
PYMT,20240620,60.62
FLYN,20230605,98.5
KHIN,20231201,121.39
DWIM,20240328,363.19
FFRI,20230710,61.04
PYMT,20230814,44.1
LRFD,20231121,264.03
FNBA,20231106,104.03
FLYN,20231207,88.51
FFRI,20240216,59.94
GUST,20240223,161.03
FV8C,20240109,17.64
FV8C,20240422,16.29
FFRI,20240425,59.11
KHIN,20231124,122.31
FFRI,20230615,60.98
VALS,20240423,132.33
FNBA,20240322,90.71
LRFD,20231017,261.74
